F1,Baselines
0.952729401,Confs
0.948598131,Confs
0.928988327,Confs
0.956498389,Confs
0.804924242,Confs
0.879436194,Confs
0.924632953,Confs
0.932374101,Confs
0.953783416,Confs
0.914312182,Confs
0.955212922,Confs
0.805172036,Confs
0.901241869,Confs
0.884875847,Confs
0.923976608,Confs
0.96836983,Confs
0.78358209,AutoSpearman
0.905511811,AutoSpearman
0.85971223,AutoSpearman
0.865517241,AutoSpearman
0.784757981,AutoSpearman
0.877950101,AutoSpearman
0.881927711,AutoSpearman
0.802056555,AutoSpearman
0.926677067,AutoSpearman
0.836601307,AutoSpearman
0.861407249,AutoSpearman
0.901960784,AutoSpearman
0.950537634,AutoSpearman
0.857142857,AutoSpearman
0.168674699,AutoSpearman
0.605839416,AutoSpearman
0.571428571,AutoSpearman
0.665168539,AutoSpearman
0.5,AutoSpearman
0.643431635,AutoSpearman
0.833333333,AutoSpearman
0.776280323,AutoSpearman
0.083333333,AutoSpearman
0.720848057,AutoSpearman
0.684622068,AutoSpearman
0.756302521,AutoSpearman
0.036666667,AutoSpearman
0.736842105,AutoSpearman
0.913096695,AutoSpearman
0.440828402,AutoSpearman
0.942325368,AutoSpearman
0.782563927,AutoSpearman
0.956807652,AutoSpearman
0.950579622,AutoSpearman
0.982013879,AutoSpearman
0.750567924,AutoSpearman
0.95746181,AutoSpearman
0.965737052,AutoSpearman
0.80795107,AutoSpearman
0.761395611,AutoSpearman
0.952729401,AutoSpearman
0.898464586,AutoSpearman
0.977242888,AutoSpearman
0.917272727,AutoSpearman
0.804924242,AutoSpearman
0.802668388,AutoSpearman
0.954998156,AutoSpearman
0.932374101,AutoSpearman
0.933280276,AutoSpearman
0.825081169,AutoSpearman
0.870490834,AutoSpearman
0.920318725,AutoSpearman
0.93716059,AutoSpearman
0.884875847,AutoSpearman
0.923976608,AutoSpearman
0.931989924,AutoSpearman
